marca;modelo;estado;cor;quilometragem;end_tag;combustivel;ano;cambio;unico_dono;tipo;versao;direcao;portas;extra;preco;
FIAT;UNO;mg;Prata;1;1;Flex;2018;Manual;Sim;Hatch;UNO DRIVE 1.0 FLEX 6V 5P;Elxe9trica;4 portas;ar condicionado, vidro elxe9trico, trava elxe9trica, air bag, alarme, som;34020;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-drive-526970073?xtmc=fiat+uno&xtnp=1&xtcr=27;
;;mg;;100000;;;2016;;;;;;;;;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/catalisador-fire-559323303?xtmc=fiat+uno&xtnp=1&xtcr=28;
FIAT;UNO;mg;Prata;131000;4;Gasolina;2003;Manual;Nxe3o;Passeio;UNO MILLE 1.0 FIRE/ F.FLEX/ ECONOMY 4P;Mecxe2nica;4 portas;alarme, trava elxe9trica, vidro elxe9trico, som;9400;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-fire-ano-2003-novinho-559322162?xtmc=fiat+uno&xtnp=1&xtcr=29;
FIAT;UNO;mg;Vermelho;70253;;Flex;2014;Manual;;Passeio;UNO WAY 1.0 EVO FIRE FLEX 8V 5P;Hidrxe1ulica;4 portas;air bag, alarme, ar condicionado, trava elxe9trica, vidro elxe9trico;26900;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-way-completo-troco-e-financio-ate-sem-entrada-556851696?xtmc=fiat+uno&xtnp=1&xtcr=30;
FIAT;UNO;mg;Branco;99668;3;Flex;2014;Manual;Sim;Passeio;UNO VIVACE CELEB. 1.0 EVO F.FLEX 8V 5P;Mecxe2nica;4 portas;som;20000;https://mg.olx.com.br/regiao-de-juiz-de-fora/autos-e-pecas/carros-vans-e-utilitarios/uno-2014-543085624?xtmc=fiat+uno&xtnp=1&xtcr=31;
FIAT;UNO;mg;;83000;;Flex;2012;Manual;;;UNO SPORTING 1.4 EVO FIRE FLEX 8V 4P;;;ar condicionado, vidro elxe9trico, trava elxe9trica, alarme, som, sensor de rxe9, cxe2mera de rxe9;25000;https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-sporting-1-4-559319688?xtmc=fiat+uno&xtnp=1&xtcr=32;
FIAT;STILO;mg;Preto;119000;2;Flex;2009;Manual;Nxe3o;Hatch;STILO 1.8 SPORTING FLEX 8V 5P;Elxe9trica;4 portas;ar condicionado, vidro elxe9trico, trava elxe9trica, air bag, alarme, som;25000;https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/autos-e-pecas/carros-vans-e-utilitarios/fiat-stilo-sporting-completo-c-teto-e-revisado-558480777?xtmc=fiat+uno&xtnp=1&xtcr=33;
FIAT;UNO;mg;Preto;105000;4;Flex;2010;Manual;;Passeio;UNO MILLE 1.0 FIRE/ F.FLEX/ ECONOMY 4P;Hidrxe1ulica;4 portas;alarme, trava elxe9trica, vidro elxe9trico, som;15000;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-559315064?xtmc=fiat+uno&xtnp=1&xtcr=35;
FIAT;UNO;mg;Cinza;1;;Gasolina;2003;Manual;Nxe3o;Hatch;UNO MILLE 1.0 FIRE/ F.FLEX/ ECONOMY 4P;Mecxe2nica;4 portas;vidro elxe9trico;9000;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-559313878?xtmc=fiat+uno&xtnp=1&xtcr=36;
FIAT;UNO;mg;Vermelho;70200;1;Flex;2014;Manual;Nxe3o;Hatch;UNO WAY 1.0 EVO FIRE FLEX 8V 5P;Hidrxe1ulica;4 portas;air bag, ar condicionado, trava elxe9trica, vidro elxe9trico, som;26900;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-evo-way-2014-1-0-completo-556833241?xtmc=fiat+uno&xtnp=1&xtcr=37;
FIAT;UNO;mg;Preto;145000;2;Flex;2008;Manual;Nxe3o;Passeio;UNO MILLE 1.0 FIRE/ F.FLEX/ ECONOMY 4P;Mecxe2nica;4 portas;;9800;https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-559307430?xtmc=fiat+uno&xtnp=1&xtcr=38;
