marca;modelo;estado;cor;quilometragem;end_tag;combustivel;ano;cambio;unico_dono;tipo;versao;direcao;portas;extra;preco;
FIAT;FIORINO;sp;;11;2;Flex;2013;Manual;;Van/Utilitxe1rio;FIORINO FURG.1.5/1.3/1.3 FIRE/1.3 F.FLEX;Mecxe2nica;2 portas;;550;https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/chave-pantografica-fiorino-uno-559308602?xtmc=fiat+uno&xtnp=1&xtcr=46
FIAT;UNO;sp;;83508;2;Flex;2013;Manual;;Passeio;UNO VIVACE/RUA 1.0 EVO FIRE FLEX 8V 5P;;4 portas;ar condicionado, direxe7xe3o hidrxe1ulica, direxe7xe3o hidrxe1ulica, trava elxe9trica, vidro elxe9trico;26880;https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-1-0-evo-vivace-8v-557104434?xtmc=fiat+uno&xtnp=1&xtcr=47
FIAT;UNO;sp;;27000;6;Flex;2018;Manual;;Passeio;UNO VIVACE CELEB. 1.0 EVO F.FLEX 8V 5P;;4 portas;alarme, ar condicionado, direxe7xe3o hidrxe1ulica, direxe7xe3o hidrxe1ulica, trava elxe9trica, vidro elxe9trico;35880;https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-1-0-firefly-drive-557104384?xtmc=fiat+uno&xtnp=1&xtcr=48
FIAT;UNO;sp;Vermelho;57000;4;Flex;2012;Manual;Nxe3o;;UNO WAY 1.0 EVO FIRE FLEX 8V 5P;Hidrxe1ulica;4 portas;ar condicionado, vidro elxe9trico, trava elxe9trica, alarme, som;23000;https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/uno-wey-554996415?xtmc=fiat+uno&xtnp=1&xtcr=49
FIAT;UNO;sp;;41213;6;Flex;2018;Manual;;;UNO DRIVE 1.0 FLEX 6V 5P;;4 portas;ar condicionado, direxe7xe3o hidrxe1ulica, vidro elxe9trico, trava elxe9trica, air bag;33260;https://sp.olx.com.br/grande-campinas/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-1-0-firefly-flex-drive-4p-2017-524876837?xtmc=fiat+uno&xtnp=1&xtcr=50
FIAT;UNO;sp;;41627;2;Flex;2018;Manual;;;UNO DRIVE 1.0 FLEX 6V 5P;;4 portas;ar condicionado, direxe7xe3o hidrxe1ulica, vidro elxe9trico, trava elxe9trica, air bag;32060;https://sp.olx.com.br/grande-campinas/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-1-0-firefly-flex-drive-4p-2017-542718975?xtmc=fiat+uno&xtnp=2&xtcr=1
FIAT;UNO;sp;;44934;7;Flex;2018;Manual;;;UNO DRIVE 1.0 FLEX 6V 5P;;4 portas;ar condicionado, direxe7xe3o hidrxe1ulica, vidro elxe9trico, trava elxe9trica, air bag;31990;https://sp.olx.com.br/grande-campinas/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-1-0-firefly-flex-drive-4p-2017-542719047?xtmc=fiat+uno&xtnp=2&xtcr=2
FIAT;UNO;sp;;27200;2;Flex;2018;Manual;;;;;4 portas;;36490;https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-1-0-firefly-flex-drive-4p-manual-539429839?xtmc=fiat+uno&xtnp=2&xtcr=3
FIAT;UNO;sp;;36000;7;Flex;2018;Manual;;Passeio;UNO DRIVE 1.0 FLEX 6V 5P;;4 portas;air bag, ar condicionado, direxe7xe3o hidrxe1ulica, trava elxe9trica, vidro elxe9trico;32490;https://sp.olx.com.br/regiao-de-sorocaba/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-2017-2018-1-0-firefly-flex-drive-4p-manual-433283278?xtmc=fiat+uno&xtnp=2&xtcr=4
FIAT;UNO;sp;;66000;1;Flex;2013;Manual;;Passeio;UNO VIVACE CELEB. 1.0 EVO F.FLEX 8V 5P;;4 portas;air bag, ar condicionado, direxe7xe3o hidrxe1ulica, trava elxe9trica, vidro elxe9trico;24290;https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-2013-2013-1-0-evo-vivace-8v-flex-4p-manual-558203132?xtmc=fiat+uno&xtnp=2&xtcr=5
